English,Greek,NC,,,,
A,α (alpha),NC1,,,,
B,β (beta),NC2,,,,
C,χ (chi),NC3,,,,
D,δ (delta),NC1,,,,
E,ε (epsilon),NC2,,,,
F,φ (phi),NC3,,,,
G,γ (gamma),NC1,,,,
H,η (eta),NC2,,,,
I,ι (iota),NC3,,,,
J,ξ (xi),NC1,,,,
K,κ (kappa),NC2,,,,
L,λ (lambda),NC3,,,,
M,μ (mu),NC1,,,,
N,ν (nu),NC2,,,,
O,ο (omicron),NC3,,,,
P,π (pi),NC1,,,,
Q,ψ (psi),NC2,,,,
R,ρ (rho),NC3,,,,
S,σ (sigma),NC1,,,,
T,τ (tau),NC2,,,,
U,υ (upsilon),NC3,,,,
V,ϑ (theta),NC1,,,,
W,ω (omega),NC2,,,,
X,χ (chi),NC3,,,,
Y,ψ (psi),NC1,,,,
Z,ζ (zeta),NC2,,,,
∅,θ (theta),NC3,,,,
